Itemset	day	sentiment
( 330, 494, 337)	1	0
( 330, 494, 337)	2	0
( 330, 494, 337)	3	-93
( 330, 494, 337)	4	22
( 330, 494, 337)	5	24
( 330, 494, 337)	6	0
( 330, 494, 354)	0	60
( 330, 494, 354)	1	0
( 330, 494, 354)	2	0
( 330, 494, 354)	3	-74
( 330, 494, 354)	4	30
( 330, 494, 354)	5	20
( 330, 494, 354)	6	0
( 330, 597, 337)	0	61
( 330, 597, 337)	1	0
( 330, 597, 337)	2	0
( 330, 597, 337)	3	-73
( 330, 597, 337)	4	25
( 330, 597, 337)	5	22
( 330, 597, 337)	6	0
( 330, 597, 354)	0	60
( 330, 597, 354)	1	0
( 330, 597, 354)	2	0
( 330, 597, 354)	3	-54
( 330, 597, 354)	4	33
( 330, 597, 354)	5	18
( 330, 597, 354)	6	0
( 330, 337, 354)	0	58
( 330, 337, 354)	1	0
( 330, 337, 354)	2	0
( 330, 337, 354)	3	-77
( 330, 337, 354)	4	19
( 330, 337, 354)	5	25
( 330, 337, 354)	6	0
( 494, 597, 337)	0	49
( 494, 597, 337)	1	0
( 494, 597, 337)	2	0
( 494, 597, 337)	3	-88
( 494, 597, 337)	4	28
( 494, 597, 337)	5	18
( 494, 597, 337)	6	0
( 494, 597, 354)	0	48
( 494, 597, 354)	1	0
( 494, 597, 354)	2	0
( 494, 597, 354)	3	-69
( 494, 597, 354)	4	36
( 494, 597, 354)	5	14
( 494, 597, 354)	6	0
( 494, 337, 354)	0	46
( 494, 337, 354)	1	0
( 494, 337, 354)	2	0
( 494, 337, 354)	3	-92
( 494, 337, 354)	4	22
( 494, 337, 354)	5	21
( 494, 337, 354)	6	0
( 597, 337, 354)	0	46
( 597, 337, 354)	1	0
( 597, 337, 354)	2	0
( 597, 337, 354)	3	-72
( 597, 337, 354)	4	25
( 597, 337, 354)	5	19
( 597, 337, 354)	6	0
( 294, 892, 125)	0	0
( 294, 892, 125)	1	-31
( 294, 892, 125)	2	0
( 294, 892, 125)	3	0
( 294, 892, 125)	4	0
( 294, 892, 125)	5	44
( 294, 892, 125)	6	0
( 419, 642, 952)	0	43
( 419, 642, 952)	1	-50
( 419, 642, 952)	2	0
( 419, 642, 952)	3	-53
( 419, 642, 952)	4	0
( 419, 642, 952)	5	45
( 419, 642, 952)	6	0
( 419, 642, 441)	0	52
( 419, 642, 441)	1	-34
( 419, 642, 441)	2	0
( 419, 642, 441)	3	-46
( 419, 642, 441)	4	0
( 419, 642, 441)	5	53
( 419, 642, 441)	6	0
( 419, 642, 899)	0	42
( 419, 642, 899)	1	-40
( 419, 642, 899)	2	0
( 419, 642, 899)	3	-44
( 419, 642, 899)	4	0
( 419, 642, 899)	5	42
